구분,Jan-25A,Feb-25A,Mar-25A,Apr-25A,May-25A,Jun-25A,Jul-25A,Aug-25A,Sep-25A,Oct-25A,Nov-25A,Dec-25F,25년 YTD
라이선스 매출,409,414,637,437,440,495,459,"2,723","3,305",862,-399,"2,048","11,830"
-Movin,0,0,0,0,0,0,0,"2,265","2,820",277,264,"1,200","6,826"
-Silver,34,34,53,36,36,41,38,38,40,37,-77,23,334
-SUGI,218,220,339,233,234,263,244,243,258,239,-431,145,"2,206"
-Benjamin,134,135,209,143,144,162,150,149,158,147,-183,116,"1,462"
-BDS,0,0,0,0,0,0,0,0,0,0,0,450,450
-BBUK,24,24,35,26,26,29,27,27,28,163,28,115,552
광고선전비,0,0,0,0,0,0,0,0,0,0,137,"1,500","1,637"
기타판관비,0,26,478,0,8,530,171,171,"1,576",170,"-1,777",22,"1,376"
감가상각비,159,161,164,169,173,176,172,173,172,169,169,172,"2,027"
모빈 법률비용 영업비용,0,0,0,0,0,0,0,0,0,0,0,"3,014","3,014"
고정비 계,159,187,642,169,181,705,343,344,"1,748",339,"-1,471","4,708","8,054"
영업이익,250,228,-5,269,259,-210,116,"2,378","1,557",523,"1,072","-2,659","3,776"
감가상각비 연결 조정,-156,-154,-155,-155,-155,-155,-155,-155,-155,-155,-155,-155,"-1,862"
감가비 조정 후 영업이익,407,382,150,424,414,-55,271,"2,534","1,712",678,"1,227","-2,504","5,638"

